node	parent
5765	5764
6297	6296
581573	6322
6254	6089
3800	3799
6091	6090
6113	6112
6171	6168
6249	6248
6345	6341
6181	6180
6329	6325
110670	6363
9991	9979
11327	11326
97811	97807
581329	581328
6218	6192
9945	9944
11002	10994
98320	98319
98910	98907
108032	107992
110304	110303
110308	110307
112800	111123
231988	231987
581465	581464
581536	581535
6149	6139
8317	8316
88395	88394
88859	88857
98306	98301
99684	99683
110247	110232
111837	111784
194009	143658
237011	237007
6135	6131
7416	7414
7550	7548
8180	8179
8431	8423
8676	8675
88425	88424
88431	88427
218027	218025
230478	230477
236439	236438
241544	241530
249107	246151
261474	261468
278077	278030
278220	278219
283635	283338
284251	284250
581423	581422
581442	581441
6211	6207
8232	8230
8359	8357
10448	10443
11953	11952
110332	110331
193980	193979
206140	199838
230632	230612
237418	237417
239769	239718
264361	264360
282789	282776
318418	318417
546912	546910
6122	6119
8342	8341
8364	8363
8386	8379
99672	99648
196683	196682
229214	229110
236928	236927
236965	236964
237416	237414
239587	239568
259295	259293
7111	7110
8248	8243
8298	8297
10450	10449
107966	107965
110258	110256
152739	152738
199263	199253
239738	239735
242873	242872
318477	318476
318589	318588
546830	546828
546840	546839
8247	8245
236443	236442
253222	250612
284256	284255
284257	284256
318434	318428
7435	7434
10548	10520
110199	110197
239572	239571
284258	284257
314264	314261
9578	9577
13781	13660
99655	99654
143665	143664
227166	226927
566874	566251
88265	88259
97474	97473
230746	230745
128519	122391
230739	230738
318424	318423
209352	209349
230793	230788
230731	230730
318699	318698
549295	549294
574141	574139
580703	580702
7273	7269
13762	13760
15000	13794
101160	101158
104632	104630
107882	107866
109793	109789
120112	120110
122737	122735
145139	145138
198618	198572
207500	207498
208435	208434
253110	253109
257877	257876
300979	284304
315627	315572
315786	315745
318736	318735
567855	567851
573536	573532
7271	7270
7326	7325
13745	13744
88178	88144
88242	88241
107144	107139
107391	107390
108908	108907
123372	123370
154333	154332
171790	171780
248319	248318
253105	253104
266653	266652
300982	300979
301003	300999
574144	574143
7257	7255
8023	8022
13732	13730
28848	28844
171775	171771
193565	193563
236751	236750
280761	280756
284279	284278
284283	284280
551028	551027
8024	8023
97317	89226
97436	97435
154339	154334
251700	251699
252572	252555
13362	13361
16681	16680
17664	17590
154336	154334
155811	155797
209683	209682
251645	251598
251690	251689
266624	266614
301012	301011
17258	17257
24130	19661
90135	90107
185507	185505
255143	255072
13826	13805
97431	97419
253294	253291
564460	564454
97421	97420
153826	153754
190694	190679
253295	253294
13699	13698
14094	14064
172436	172435
537139	530869
537248	530869
538933	318762
564320	564319
18856	18493
24134	24133
57099	54492
430504	430499
494226	494086
539281	539269
30541	30497
46929	45568
57357	57354
74326	63171
188798	188777
211537	211525
440483	440417
445532	445531
446629	446628
447172	447166
449357	449163
460288	460287
465091	465089
478764	478120
490133	481952
491193	491181
503868	503616
507327	507325
508440	508439
522509	522490
523116	522624
523217	523212
523221	523218
523368	523362
538711	538707
541723	541722
546200	546180
546252	546180
546618	546617
546726	546725
564432	564431
18452	18451
19019	19018
19648	19647
31244	31243
39113	39103
39462	39423
47674	47672
47723	47718
53454	53452
63116	63112
284491	284489
285358	285246
285622	285621
298725	298724
335557	335556
342023	341998
342032	342031
354124	354013
406229	379340
406930	406908
409780	409696
435199	435192
454413	454412
460508	460507
460572	460507
463370	463322
523367	523363
523421	523420
527197	527192
541898	541884
541950	541884
59364	59363
88044	88043
319958	319951
325494	324837
351581	351509
445383	445372
460541	460521
522652	522646
18255	18254
167800	167792
294814	294793
322859	322852
433820	433818
445879	445851
460570	460543
362911	362901
367319	367318
368255	368254
368335	368334
380023	380022
380525	380513
382250	382249
384744	384726
387034	386820
388548	388547
388553	388550
402886	397777
403093	403071
461712	461711
481708	481706
482293	482281
497429	497428
503795	503784
522544	522543
523393	523388
536512	536510
536655	536648
546356	546355
546434	546433
35120	35119
39441	39437
333642	333579
355310	355297
376590	376589
381703	381686
384127	384126
394036	393935
402110	402067
404804	404803
409804	409784
424743	424728
429444	429443
460566	460545
487281	487277
523274	523270
546105	546104
382114	382113
386883	386826
394015	393964
397865	397853
460534	460524
35200	35186
42688	42683
292944	292943
365159	365056
389737	389615
460526	460525
500073	500044
509848	509847
510353	510352
528220	528214
353076	353075
361613	361612
362613	362612
380476	380475
380914	380912
528373	528372
386901	386900
376481	376480
389092	389040
391829	391812
401395	401318
419382	419341
39810	39809
362641	362640
389523	389518
35249	35248
361709	361708
389503	389499
389531	389524
462323	462318
389165	389163
389054	389044
476919	476918
35240	35239
326887	326886
389182	389172
389452	389451
326889	326888
389689	389680
522932	522931
522933	522932
389437	389436
389457	389456
462610	462609
462633	462613
522792	522791
522984	522983
389336	389325
462621	462620
389331	389327
389332	389331
