node	descendants	informative_sites
1	SouthKorea/KCDC2004/2020|EPI_ISL_426164|2020-02-02,Guangdong/20SF195/2020|EPI_ISL_428453|2020-01-22,EGY/Egypt-Army-Thirdwave351/2021|MZ093200.1|21-05-02,USA/OH-21AM-095CO01243/2021|EPI_ISL_2153725|2021-04-05,Ireland/CO-NVRL-20G30863/2020|EPI_ISL_1620723|2020-03-17,Spain/AN-ISCIII-201618/2020|EPI_ISL_539498|2020-03-05,TWN/CGMH-CGU-22/2020|MT479224.1|20-03-18,Scotland/EDB074/2020|20-03-20,CHN/Wuhan_IME-WH02/2019|MT291827.1|19-12-30,USA/CA-QDX-1557/2020|MW190237.1|20-03-18	241,913,3037,3177,3267,5388,5986,6954,10253,13517,14408,14676,15279,16176,23063,23271,23403,23604,23709,24506,24914,27972,28048,28111,28251,28267,28277,28278,28279,28878,28879,28880,204,445,3592,6286,7945,9438,14022,21255,22227,25710,25886,26801,27944,28932,29645
139	Finland/21AS11C8/2020|EPI_ISL_1233191|2020-04-21,Beijing/DT-travelFR02/2020|EPI_ISL_452337|2020-03-24,Germany/MV-Muc-IMB1/2020|EPI_ISL_491112|2020,Germany/NW-HHU-1497/2020|EPI_ISL_1346959|2020-10-21,Tv4/20_Tier-4_Covid-19|LR824571.1|?,Guangzhou/GZMU0037/2020|EPI_ISL_429089|2020-02-08,England/NORT-283FBB/2020|OA965186.1|2020-04-24,Sichuan/SC-PHCC1-022/2020|EPI_ISL_451345|2020-01-24,Rwanda/NRLNAT2020/2020|EPI_ISL_960283|2020-08-20,Shanghai/SH0086/2020|EPI_ISL_416386|2020-01-31	4002,7623,7626,8658,10097,12534,13536,14408,19301,19302,21163,21166,23593,23731,28846,28881,28882,28883,28908
140	Spain/CT-HUVH-97295/2021|EPI_ISL_1195245|2021-02-23	913,3267,5986,6954,10323,14408,14676,15096,15279,17999,19803,22813,23063,23271,23604,24506,25546,25563,26456,28209,28254,28881,28882,28883,28884,28977,29706,5388,11497,17019,18877,28280,28281,28282,6706,8950,16176,16726,19524,21234,23709,24914,25844,27430,27577,27972,28048,28111,29524
141	USA/NJ-CDC-LC0019977/2021|MW985638.1|21-02-22	913,3267,5388,5986,6954,14408,23063,24914,27972,28048,28111,28280,28281,28282,28881,28882,28883,10323,14676,15096,15279,17999,19803,22813,23271,23604,24506,25546,25563,26456,28209,28254,28884,28977,29706,1059,8809,16176,21993,24432,25517,27925,23709,6706,8950,16726,19524,21234,25844,27430,27577,29524
142	Belgium/AZDelta00677-2107R/2021|EPI_ISL_1058083|2021-02-10,Belgium/AZDelta00678-2107R/2021|EPI_ISL_1058084|2021-02-10	241,913,3037,3177,3267,5388,5986,6954,10253,13517,14408,14676,15279,16176,23063,23271,23403,23604,23709,24506,24914,27972,28048,28111,28251,28267,28277,28278,28279,28878,28879,28880,445,2449,5195,5379,5698,6652,6672,13787,13958,14898,14916,21466,22227,26474,26492,26801,27862,28932,29645,11296,28254,28280,28281,28282,28881,28882,28883,28977,2453,4891,6322,1643,3811,21178,22020,26520,27131,28877
147	Italy/CAM-CRGS-27/2020|EPI_ISL_876991|2020-03-18	241,2292,2394,2836,3830,3833,4300,6882,8782,16512,16850,18568,18877,21724,22444,23084,23902,23920,23926,25563,28878,29750,884,12075,14408,21800,23604,26735
150	India/GJ-GBRC213b/2020|EPI_ISL_475044|2020-06-11,IND/GBRC213b/2020|MT664795.1|20-06-11	241,2292,2394,2836,3830,3833,4300,6882,8782,16512,16850,18568,18877,21724,22444,23084,23902,23920,23926,25563,28878,29750,313,14408,28881,28882,28883
166	USA/CA-CHLA-PLM33162258/2020|EPI_ISL_753629|2020-12-03,USA/WY-UNM-00142/2020|EPI_ISL_614261|2020-07-03	241,685,1059,1263,3037,6312,8083,13446,14408,14805,18424,21304,21952,24087,25563,25907,28472,28869,29409
395	Ecuador/USFQ-556/2020|EPI_ISL_728204|2020-12-01,USA/NM-CDC-LC0059777/2021|EPI_ISL_2304955|2021-05-11,USA/NY-PRL-2021_02_25_00B01/2021|EPI_ISL_1098496|2021-02-22	1722,4093,5488,16696,20433,22088,22525,22917,24697,25613,26681,29366,29402,29421
397	USA/NY-PRL-2021_02_25_00B01/2021|EPI_ISL_1098496|2021-02-22	1722,4093,5488,16696,20433,22088,22525,24697,25613,29366,29402
538	USA/CA-UCSF-CC115/2021|EPI_ISL_1824410|2021-03-26,CostaRica/INC-0614/2021|EPI_ISL_2273000|2021-04-20,USA/CA-CDC-STM-000046757/2021|MW931439.1|21-03-29	1722,4093,5488,16696,20433,22088,22525,22917,24697,25613,26681,29366,29402,29421,2272,11851,17285
539	CostaRica/HNN-0454/2021|EPI_ISL_1811224|2021-04-01,Scotland/QEUH-150E6CC/2021|21-04-16	1722,4093,5488,16696,20433,22088,22525,22917,24697,25613,26681,29366,29402,29421,2272,11851,17285
635	Panama/GMI-PA395537/2020|EPI_ISL_1502863|2020-06-25	1722,2272,4093,11851,16696,17285,20433,22088,29366,29402,29421
1089	Germany/HH-hpi-p2146/2020|EPI_ISL_776378|2020-03-28,Germany/HH-hpi-p2445/2020|EPI_ISL_775908|2020-04-21,Germany/HH-hpi-p1948/2020|EPI_ISL_776275|2020-03-27,Germany/HH-hpi-p1940/2020|EPI_ISL_776267|2020-03-27,SaudiArabia/KAUST-MAKKAH1503/2020|EPI_ISL_678097|2020-04-14,Germany/HH-hpi-p2043/2020|EPI_ISL_776335|2020-03-20,Germany/HH-hpi-p1928/2020|EPI_ISL_776257|2020-03-26,Germany/HH-hpi-p2032/2020|EPI_ISL_775666|2020-03-21,Germany/HH-hpi-p2158/2020|EPI_ISL_776390|2020-03-28,Germany/HH-hpi-p2431/2020|EPI_ISL_776500|2020-04-21	241,2836,3037,8782,14408,16512,19154,22468,23403,28144,28854,28878
1136	India/GJ-GBRC259/2020|EPI_ISL_483850|2020-06-11,IND/GBRC259/2020|MT740923.1|20-06-11	123,241,3037,4300,7321,8782,14408,16512,18877,19154,22444,22468,23403,25563,26735,28144,28854,28878,29742
1360	Angola/KRISP-K009791/2021|EPI_ISL_1347941|2021-02-13,Angola/KRISP-K009792/2021|EPI_ISL_1347942|2021-02-13,Angola/KRISP-K009790/2021|EPI_ISL_1347940|2021-02-13	241,569,913,3037,3267,8782,11230,11296,14408,14676,15279,22206,23012,23063,23271,23403,23525,23604,24506,24914,26767,27972,28048,28111,28144,28167,28280,28281,28282,28878,28881,28882,28883,28977,29742,5986,16176
1757	Italy/CAM-TIGEM-IZSM-COLLI-9484/2020|EPI_ISL_1692819|2020-07-23	241,3037,8782,11230,14408,18877,22227,23403,25487,25563,28144,28878,29742
